,titles,years,ratings,actors_list
86,Singin' in the Rain,(1952),8.280013356470135,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor"
87,Star Wars: Episode VI - Return of the Jedi,(1983),8.27875938766383,"Richard Marquand (dir.), Mark Hamill, Harrison Ford"
88,Reservoir Dogs,(1992),8.274516256822993,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth"
89,Eternal Sunshine of the Spotless Mind,(2004),8.274269748180702,"Michel Gondry (dir.), Jim Carrey, Kate Winslet"
90,2001: A Space Odyssey,(1968),8.273495254766924,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood"
91,Tengoku to jigoku,(1963),8.265611260192415,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada"
92,Citizen Kane,(1941),8.26508500809393,"Orson Welles (dir.), Orson Welles, Joseph Cotten"
93,Lawrence of Arabia,(1962),8.262833047162895,"David Lean (dir.), Peter O'Toole, Alec Guinness"
94,Capharnaüm,(2018),8.261569328050486,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw"
95,M - Eine Stadt sucht einen Mörder,(1931),8.26115330807547,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann"
96,North by Northwest,(1959),8.26066713198571,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint"
97,Jagten,(2012),8.259600765439831,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen"
98,Vertigo,(1958),8.254774889798002,"Alfred Hitchcock (dir.), James Stewart, Kim Novak"
99,Le fabuleux destin d'Amélie Poulain,(2001),8.25438642963662,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz"
100,A Clockwork Orange,(1971),8.253972723834298,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee"
101,Full Metal Jacket,(1987),8.248219119625558,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey"
102,Scarface,(1983),8.246105064899062,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer"
103,The Batman,(2022),8.24593725901508,"Matt Reeves (dir.), Robert Pattinson, Zoë Kravitz"
104,Idi i smotri,(1985),8.243216942563256,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova"
105,Double Indemnity,(1944),8.243149020119441,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck"
106,The Apartment,(1960),8.24089141304294,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine"
